,date,Time Bin 1,steps_per_s,steps,hr,sleep,rhr
0,2020-09-22,"[0.0, 1.0)",,,77.2,,77.42857142857143
1,2020-09-22,"[1.0, 2.0)",,,63.2,1.0,77.13333333333334
2,2020-09-22,"[2.0, 3.0)",,,62.46666666666667,1.0,76.28571428571429
3,2020-09-22,"[3.0, 4.0)",,,63.333333333333336,1.0,70.4
4,2020-09-22,"[4.0, 5.0)",,,66.53333333333333,1.0,67.53333333333333
5,2020-09-22,"[5.0, 6.0)",3.5,7.0,64.93333333333334,1.0,
6,2020-09-22,"[6.0, 7.0)",5.666666666666667,17.0,64.06666666666666,1.0,
7,2020-09-22,"[7.0, 8.0)",4.5,9.0,65.4,1.0,70.07142857142857
8,2020-09-22,"[8.0, 9.0)",,,66.2,,66.66666666666667
9,2020-09-22,"[9.0, 10.0)",2.25,9.0,75.8,1.0,67.13333333333334
10,2020-09-22,"[10.0, 11.0)",,,66.2,1.0,64.4
11,2020-09-22,"[11.0, 12.0)",,,67.13333333333334,1.0,63.8
12,2020-09-22,"[12.0, 13.0)",,,68.0,1.0,61.6
13,2020-09-22,"[13.0, 14.0)",,,69.53333333333333,1.0,65.42857142857143
14,2020-09-22,"[14.0, 15.0)",,,73.46666666666667,,64.13333333333334
15,2020-09-22,"[15.0, 16.0)",,,87.0,,70.71428571428571
16,2020-09-22,"[16.0, 17.0)",,,89.26666666666667,,61.93333333333333
17,2020-09-22,"[17.0, 18.0)",,,92.13333333333334,,62.0
18,2020-09-22,"[18.0, 19.0)",,,89.2,1.0,62.53333333333333
19,2020-09-22,"[19.0, 20.0)",,,98.66666666666667,1.0,69.93333333333334
20,2020-09-22,"[20.0, 21.0)",,,108.4,1.0,66.4
21,2020-09-22,"[21.0, 22.0)",5.5,22.0,113.46666666666667,,65.0
22,2020-09-22,"[22.0, 23.0)",,,104.33333333333333,,70.85714285714286
23,2020-09-22,"[23.0, 24.0)",1.103448275862069,64.0,85.0,,71.53333333333333
24,2020-09-22,"[24.0, 25.0)",,,88.33333333333333,,72.0
25,2020-09-22,"[25.0, 26.0)",,,82.53333333333333,,71.93333333333334
26,2020-09-22,"[26.0, 27.0)",,,81.13333333333334,,72.4
27,2020-09-22,"[27.0, 28.0)",,,76.6,,82.42857142857143
28,2020-09-22,"[28.0, 29.0)",,,75.2,,75.66666666666667
29,2020-09-22,"[29.0, 30.0)",2.888888888888889,26.0,75.06666666666666,,
30,2020-09-22,"[30.0, 31.0)",1.9444444444444444,35.0,71.93333333333334,,
31,2020-09-22,"[31.0, 32.0)",2.380952380952381,50.0,85.85714285714286,,67.33333333333333
32,2020-09-22,"[32.0, 33.0)",,,91.33333333333333,,66.86666666666666
33,2020-09-22,"[33.0, 34.0)",,,72.66666666666667,,68.6
34,2020-09-22,"[34.0, 35.0)",2.5714285714285716,18.0,74.13333333333334,,
35,2020-09-22,"[35.0, 36.0)",2.466666666666667,37.0,84.4,,
36,2020-09-22,"[36.0, 37.0)",2.3,23.0,69.8,,72.66666666666667
37,2020-09-22,"[37.0, 38.0)",,,79.33333333333333,,72.4
38,2020-09-22,"[38.0, 39.0)",2.782608695652174,64.0,83.14285714285714,,
39,2020-09-22,"[39.0, 40.0)",1.8235294117647058,31.0,82.64285714285714,,
40,2020-09-22,"[40.0, 41.0)",4.5,9.0,83.86666666666666,,
41,2020-09-22,"[41.0, 42.0)",3.3333333333333335,20.0,82.86666666666666,,73.86666666666666
42,2020-09-22,"[42.0, 43.0)",,,82.06666666666666,,70.6
43,2020-09-22,"[43.0, 44.0)",,,83.53333333333333,,70.53333333333333
44,2020-09-22,"[44.0, 45.0)",3.0,42.0,79.46666666666667,,
45,2020-09-22,"[45.0, 46.0)",4.5,9.0,80.06666666666666,,
46,2020-09-22,"[46.0, 47.0)",0.7272727272727273,24.0,77.93333333333334,,
47,2020-09-22,"[47.0, 48.0)",3.75,15.0,83.8,,68.93333333333334
48,2020-09-22,"[48.0, 49.0)",,,76.26666666666667,,67.53333333333333
49,2020-09-22,"[49.0, 50.0)",3.5,7.0,71.33333333333333,,
50,2020-09-22,"[50.0, 51.0)",0.5507246376811594,38.0,70.2,,63.46666666666667
51,2020-09-22,"[51.0, 52.0)",,,79.13333333333334,,65.93333333333334
52,2020-09-22,"[52.0, 53.0)",,,74.46666666666667,,67.0
53,2020-09-22,"[53.0, 54.0)",,,82.46666666666667,,65.26666666666667
54,2020-09-22,"[54.0, 55.0)",4.5,9.0,89.53333333333333,,65.26666666666667
55,2020-09-22,"[55.0, 56.0)",,,94.86666666666666,,63.666666666666664
56,2020-09-22,"[56.0, 57.0)",0.5806451612903226,36.0,77.13333333333334,,
57,2020-09-22,"[57.0, 58.0)",2.823529411764706,96.0,98.73333333333333,,65.93333333333334
58,2020-09-22,"[58.0, 59.0)",,,91.46666666666667,,67.93333333333334
59,2020-09-22,"[59.0, 60.0)",0.25925925925925924,7.0,96.2,,
60,2020-09-22,"[60.0, 61.0)",0.2833333333333333,17.0,85.93333333333334,,
61,2020-09-22,"[61.0, 62.0)",2.125,17.0,77.66666666666667,,71.0
62,2020-09-22,"[62.0, 63.0)",,,96.4,,63.86666666666667
63,2020-09-22,"[63.0, 64.0)",,,93.4,,66.53333333333333
64,2020-09-22,"[64.0, 65.0)",0.24157303370786518,43.0,76.0,,
65,2020-09-22,"[65.0, 66.0)",0.6666666666666666,20.0,73.6,,
66,2020-09-22,"[66.0, 67.0)",0.3,9.0,77.73333333333333,,
67,2020-09-22,"[67.0, 68.0)",0.3793103448275862,11.0,79.4,,
68,2020-09-22,"[68.0, 69.0)",,,78.6,,69.0
69,2020-09-22,"[69.0, 70.0)",1.3143321119961133,1181.584568684506,76.4,,67.73333333333333
70,2020-09-22,"[70.0, 71.0)",,,81.2,,67.66666666666667
71,2020-09-22,"[71.0, 72.0)",1.2708024196344203,1991.584568684506,80.2,,
72,2020-09-22,"[72.0, 73.0)",1.380777167109168,2201.240922780572,87.2,,65.86666666666666
73,2020-09-22,"[73.0, 74.0)",,,86.93333333333334,,65.73333333333333
74,2020-09-22,"[74.0, 75.0)",,,77.6,,65.6
75,2020-09-22,"[75.0, 76.0)",0.6491228070175439,37.0,68.6,,
76,2020-09-22,"[76.0, 77.0)",2.1666666666666665,13.0,69.0,,
77,2020-09-22,"[77.0, 78.0)",2.357142857142857,66.0,75.6,,
78,2020-09-22,"[78.0, 79.0)",2.6862745098039214,137.0,75.26666666666667,,76.36363636363636
79,2020-09-22,"[79.0, 80.0)",,,62.53333333333333,,78.14285714285714
80,2020-09-22,"[80.0, 81.0)",,,63.0,,68.86666666666666
81,2020-09-22,"[81.0, 82.0)",,,60.13333333333333,,91.84615384615384
82,2020-09-22,"[82.0, 83.0)",,,60.6,,88.4
83,2020-09-22,"[83.0, 84.0)",,,59.53333333333333,,93.26666666666667
84,2020-09-22,"[84.0, 85.0)",2.7,27.0,61.266666666666666,,
85,2020-09-22,"[85.0, 86.0)",3.0689655172413794,89.0,59.13333333333333,,89.13333333333334
86,2020-09-22,"[86.0, 87.0)",,,59.2,,91.26666666666667
87,2020-09-22,"[87.0, 88.0)",,,59.6,,
88,2020-09-22,"[88.0, 89.0)",3.4,51.0,60.06666666666667,,93.92307692307692
89,2020-09-22,"[89.0, 90.0)",,,61.6,1.0,85.4
90,2020-09-22,"[90.0, 91.0)",,,60.0,1.0,83.6
91,2020-09-22,"[91.0, 92.0)",,,58.53333333333333,,76.86666666666666
92,2020-09-22,"[92.0, 93.0)",,,59.2,,82.71428571428571
93,2020-09-22,"[93.0, 94.0)",,,59.0,,79.73333333333333
94,2020-09-22,"[94.0, 95.0)",,,61.0,,75.2
95,2020-09-22,"[95.0, 96.0)",,,59.266666666666666,,75.28571428571429
96,2020-09-23,"[0.0, 1.0)",,,57.733333333333334,1.0,79.4
97,2020-09-23,"[1.0, 2.0)",,,57.53333333333333,1.0,76.0
98,2020-09-23,"[2.0, 3.0)",,,57.86666666666667,1.0,78.6
99,2020-09-23,"[3.0, 4.0)",2.8,28.0,58.93333333333333,,76.8
100,2020-09-23,"[4.0, 5.0)",,,61.266666666666666,1.0,82.42857142857143
101,2020-09-23,"[5.0, 6.0)",,,63.46666666666667,1.0,77.6
102,2020-09-23,"[6.0, 7.0)",,,65.13333333333334,1.0,79.35714285714286
103,2020-09-23,"[7.0, 8.0)",,,59.6,1.0,84.93333333333334
104,2020-09-23,"[8.0, 9.0)",4.0,16.0,58.53333333333333,1.0,84.57142857142857
105,2020-09-23,"[9.0, 10.0)",,,59.2,,83.53333333333333
106,2020-09-23,"[10.0, 11.0)",,,59.46666666666667,,86.66666666666667
107,2020-09-23,"[11.0, 12.0)",,,63.4,1.0,87.2
108,2020-09-23,"[12.0, 13.0)",,,60.13333333333333,1.0,93.3076923076923
109,2020-09-23,"[13.0, 14.0)",,,61.6,1.0,87.06666666666666
110,2020-09-23,"[14.0, 15.0)",,,62.2,1.0,85.4
111,2020-09-23,"[15.0, 16.0)",,,75.8,1.0,84.46666666666667
112,2020-09-23,"[16.0, 17.0)",,,70.33333333333333,1.0,88.33333333333333
113,2020-09-23,"[17.0, 18.0)",,,83.8,1.0,84.26666666666667
114,2020-09-23,"[18.0, 19.0)",,,76.46666666666667,1.0,83.14285714285714
115,2020-09-23,"[19.0, 20.0)",,,84.8,1.0,84.46666666666667
116,2020-09-23,"[20.0, 21.0)",,,92.8,1.0,82.2
117,2020-09-23,"[21.0, 22.0)",,,99.66666666666667,1.0,79.33333333333333
118,2020-09-23,"[22.0, 23.0)",,,86.78571428571429,1.0,75.0
119,2020-09-23,"[23.0, 24.0)",,,81.07142857142857,1.0,75.26666666666667
120,2020-09-23,"[24.0, 25.0)",,,90.8,1.0,70.4
121,2020-09-23,"[25.0, 26.0)",5.5,11.0,94.4,1.0,
122,2020-09-23,"[26.0, 27.0)",0.41935483870967744,13.0,80.8,,68.86666666666666
123,2020-09-23,"[27.0, 28.0)",,,85.86666666666666,,69.53333333333333
124,2020-09-23,"[28.0, 29.0)",4.666666666666667,14.0,88.2,,74.33333333333333
125,2020-09-23,"[29.0, 30.0)",,,71.53333333333333,,71.26666666666667
126,2020-09-23,"[30.0, 31.0)",0.5319148936170213,25.0,71.53333333333333,,
127,2020-09-23,"[31.0, 32.0)",2.25,9.0,73.86666666666666,,
128,2020-09-23,"[32.0, 33.0)",0.8311688311688312,64.0,74.26666666666667,,
129,2020-09-23,"[33.0, 34.0)",1.625,39.0,70.4,,
130,2020-09-23,"[34.0, 35.0)",0.738255033557047,330.0,68.0,,
131,2020-09-23,"[35.0, 36.0)",0.3458646616541353,138.0,65.26666666666667,,
132,2020-09-23,"[36.0, 37.0)",1.2009345794392523,257.0,68.73333333333333,,77.26666666666667
133,2020-09-23,"[37.0, 38.0)",,,70.13333333333334,,77.53333333333333
134,2020-09-23,"[38.0, 39.0)",1.6488095238095237,1385.0,65.53333333333333,,
135,2020-09-23,"[39.0, 40.0)",0.23333333333333334,14.0,63.86666666666667,,
136,2020-09-23,"[40.0, 41.0)",0.3023255813953488,26.0,67.0,,
137,2020-09-23,"[41.0, 42.0)",3.5,7.0,61.93333333333333,,
138,2020-09-23,"[42.0, 43.0)",0.28019323671497587,58.0,63.46666666666667,,
139,2020-09-23,"[43.0, 44.0)",0.17391304347826086,28.0,68.86666666666666,,
140,2020-09-23,"[44.0, 45.0)",0.8142857142857143,57.0,70.26666666666667,,73.46666666666667
141,2020-09-23,"[45.0, 46.0)",,,72.2,,76.93333333333334
142,2020-09-23,"[46.0, 47.0)",,,71.2,,76.8
143,2020-09-23,"[47.0, 48.0)",,,66.8,,73.13333333333334
144,2020-09-23,"[48.0, 49.0)",3.4166666666666665,41.0,76.46666666666667,,73.66666666666667
145,2020-09-23,"[49.0, 50.0)",,,70.46666666666667,,71.66666666666667
146,2020-09-23,"[50.0, 51.0)",1.7416666666666667,209.0,75.4,,
147,2020-09-23,"[51.0, 52.0)",1.5711111111111111,1412.4288888888889,69.8,,81.57142857142857
148,2020-09-23,"[52.0, 53.0)",,,74.13333333333334,,68.26666666666667
149,2020-09-23,"[53.0, 54.0)",0.45,27.0,72.4,,68.66666666666667
150,2020-09-23,"[54.0, 55.0)",,,70.06666666666666,,67.8
151,2020-09-23,"[55.0, 56.0)",0.19166666666666668,23.0,67.53333333333333,,
152,2020-09-23,"[56.0, 57.0)",3.5,7.0,61.93333333333333,,72.07142857142857
153,2020-09-23,"[57.0, 58.0)",,,61.13333333333333,,67.73333333333333
154,2020-09-23,"[58.0, 59.0)",0.39473684210526316,15.0,63.53333333333333,,
155,2020-09-23,"[59.0, 60.0)",0.32142857142857145,9.0,60.46666666666667,,
156,2020-09-23,"[60.0, 61.0)",3.0,21.0,60.46666666666667,,68.93333333333334
157,2020-09-23,"[61.0, 62.0)",,,60.4,,68.57142857142857
158,2020-09-23,"[62.0, 63.0)",,,73.8,,70.93333333333334
159,2020-09-23,"[63.0, 64.0)",,,58.266666666666666,,71.2
160,2020-09-23,"[64.0, 65.0)",0.5166666666666667,31.0,57.86666666666667,,
161,2020-09-23,"[65.0, 66.0)",2.125,17.0,61.6,,68.4
162,2020-09-23,"[66.0, 67.0)",,,72.06666666666666,,69.06666666666666
163,2020-09-23,"[67.0, 68.0)",5.5,11.0,66.53333333333333,,68.73333333333333
164,2020-09-23,"[68.0, 69.0)",,,59.733333333333334,,70.0
165,2020-09-23,"[69.0, 70.0)",,,60.333333333333336,,72.06666666666666
166,2020-09-23,"[70.0, 71.0)",0.32142857142857145,9.0,71.13333333333334,,
167,2020-09-23,"[71.0, 72.0)",3.5,7.0,73.4,,
168,2020-09-23,"[72.0, 73.0)",0.8484848484848485,28.0,72.33333333333333,,
169,2020-09-23,"[73.0, 74.0)",0.7045454545454546,31.0,79.0,,
170,2020-09-23,"[74.0, 75.0)",0.6724137931034483,39.0,69.0,,89.66666666666667
171,2020-09-23,"[75.0, 76.0)",,,73.4,,87.6
